Bacon;g;541;42;14;1.4;0;37;0;1.7
Chicken thigh;g;177;8;2.3;0;0;24;0;0.87
Veal;g;172;8;3;0;0;24;0;0.83
Beef;g;250;15;6;0;0;26;0;0.72
Horse meat;g;175;6;1.9;0;0;28;0;0.55
Tomato;units;22.17;0.21;0;3.5;2;0.88;1.4;0.09
Salmon;g;146;5.93;1.26;0;0;21.62;0;0.46
Hake;g;132;4.38;0.83;0.41;0.09;21.38;0;0.4
Bonito;g;140;4.02;0.8;0;0;24.33;0;0.17
Tuna;g;143;4.62;0.9;0;0;23.87;0;0.18
Mackerel;g;139;6.3;1.83;0;0;19.29;0;0.06
Olive oil;ml;900;100;14;0;0;0;0;0
Sunflower oil;ml;884;100;10.3;0;0;0;0;0
Sugar;g;387;0;0;100;100;0;0;0
Salt;g;0;0;0;0;0;0;0;100
Butter;g;717;81.11;51.37;0.06;0.06;0.85;0;1.8
Whole Milk;ml;60;3.25;1.87;4.52;5.26;3.22;0;0.3
Fresh cheese;g;145;8.33;5.19;5.41;0.33;11.99;0;0.2
Natural yogurt;g;81;1.2;0.93;10.05;9.78;4;0;0.25
Egg;units;147;9.94;3.1;0.77;0.77;12.58;0;0.17
